mass,success,t_exp,t_rev
15.599999999998545,True,1,2
15.599999999998545,True,1,3
15.600000000000364,True,1,1
15.600000000000364,True,1,1
15.600000000000364,True,1,2
15.600000000000364,True,1,1
15.600000000000364,True,1,3
15.600000000000364,True,1,1
15.600000000000364,True,1,2
15.600000000000364,True,1,1
15.600000000000364,True,1,2
15.600000000000364,True,1,1
15.600000000000364,True,1,1
15.600000000000364,True,1,1
15.600000000000364,True,1,1
15.600000000000364,True,1,1
15.600000000000364,True,1,16
15.699999999998909,True,1,3
15.699999999998909,True,1,1
15.699999999998909,True,1,1
15.700000000000728,True,1,1
15.700000000000728,True,1,2
15.700000000000728,True,1,1
15.700000000000728,True,1,1
15.700000000000728,True,1,1
15.700000000000728,True,1,1
15.700000000000728,True,1,9
15.799999999999272,True,1,2
15.799999999999272,True,1,1
15.799999999999272,True,1,1
15.799999999999272,True,1,1
15.799999999999272,True,1,3
15.799999999999272,True,1,1
15.799999999999272,True,1,1
15.799999999999272,True,1,3
15.799999999999272,True,1,2
15.799999999999272,True,1,1
15.799999999999272,True,1,1
15.800000000001091,True,1,1
15.800000000001091,True,1,2
15.800000000001091,True,1,2
15.800000000001091,True,1,1
15.800000000001091,True,1,1
15.800000000001091,True,1,1
15.800000000001091,True,1,1
15.899999999999636,True,1,1
15.899999999999636,True,1,2
15.899999999999636,True,1,2
15.899999999999636,True,1,6
15.899999999999636,True,1,1
15.899999999999636,True,1,9
15.899999999999636,True,1,1
15.899999999999636,True,1,2
15.899999999999636,True,1,4
15.899999999999636,True,1,1
15.899999999999636,True,1,2
15.899999999999636,True,1,1
15.899999999999636,True,1,1
15.900000000001455,True,1,2
15.900000000001455,True,1,1
15.999999999998181,True,1,2
15.999999999998181,True,1,3
15.999999999998181,True,1,1
15.999999999998181,True,1,1
15.999999999998181,True,1,1
15.999999999998181,True,1,1
15.999999999998181,True,1,1
15.999999999998181,True,1,3
15.999999999998181,True,1,1
15.999999999998181,True,1,1
15.999999999998181,True,1,1
15.999999999998181,True,1,1
15.999999999998181,True,1,1
15.999999999998181,True,1,1
15.999999999998181,True,1,1
15.999999999998181,True,1,1
15.999999999998181,True,1,1
15.999999999998181,True,1,2
15.999999999998181,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,5
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,3
16.0,True,1,1
16.0,True,1,1
16.0,True,1,2
16.0,True,1,2
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,2
16.0,True,1,1
16.0,True,1,1
16.0,True,1,2
16.0,True,1,1
16.0,True,1,1
16.0,True,1,2
16.0,True,1,4
16.0,True,1,1
16.0,True,1,1
16.0,True,1,2
16.0,True,1,1
16.0,True,1,2
16.0,True,1,2
16.0,True,1,2
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,2
16.0,True,1,1
16.0,True,1,2
16.0,True,1,1
16.0,True,1,2
16.0,True,1,1
16.0,True,1,2
16.0,True,1,1
16.0,True,1,2
16.0,True,1,1
16.0,True,1,2
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,3
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,2
16.0,True,1,2
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,2
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,2
16.0,True,1,1
16.0,True,1,1
16.0,True,1,4
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,2
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,2
16.0,True,1,2
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,3
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,2
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,3
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,1
16.0,True,1,2
16.0,True,1,3
16.0,True,1,1
16.00000000000182,True,1,1
16.00000000000182,True,1,1
16.00000000000182,True,1,1
16.00000000000182,True,1,1
16.00000000000182,True,1,2
16.00000000000182,True,1,1
16.00000000000182,True,1,2
16.00000000000182,True,1,1
16.00000000000182,True,1,2
16.00000000000182,True,1,2
16.00000000000182,True,1,2
16.00000000000182,True,1,1
16.00000000000182,True,1,1
16.00000000000182,True,1,1
16.00000000000182,True,1,1
16.00000000000182,True,1,1
16.00000000000182,True,1,1
16.00000000000182,True,1,1
16.00000000000182,True,1,1
16.000000000003638,True,1,1
16.099999999998545,True,1,1
16.099999999998545,True,1,1
16.099999999998545,True,1,1
16.099999999998545,True,1,1
16.099999999998545,True,1,2
16.099999999998545,True,1,1
